"","field","values","nb"
"1","consent_received.wash.water_collection_problem_other","The source is only available some month of the year",1
"2","consent_received.wash.water_collection_problem_other","They have to collect water from neighbors. ",1
"3","consent_received.shelter_nfi.non_food_items_other","chair-table ",1
"4","consent_received.shelter_nfi.non_food_items_other","Cow, goat ",1
"5","consent_received.shelter_nfi.non_food_items_other","Dressmaking machine",1
"6","consent_received.shelter_nfi.non_food_items_other","Electric fan",1
"7","consent_received.shelter_nfi.non_food_items_other","Electricity line",2
"8","consent_received.shelter_nfi.non_food_items_other","Electricity supply 
",1
"9","consent_received.shelter_nfi.non_food_items_other","Fridge",1
"10","consent_received.shelter_nfi.non_food_items_other","Furniture",1
"11","consent_received.shelter_nfi.non_food_items_other","Furniture,electricity",1
"12","consent_received.shelter_nfi.non_food_items_other","Furniture,water filter",1
"13","consent_received.shelter_nfi.non_food_items_other","Home repair materials",3
"14","consent_received.shelter_nfi.non_food_items_other","House",1
"15","consent_received.shelter_nfi.non_food_items_other","Hygiene ",1
"16","consent_received.shelter_nfi.non_food_items_other","Need a sewing machine",1
"17","consent_received.shelter_nfi.non_food_items_other","need electricity",1
"18","consent_received.shelter_nfi.non_food_items_other","Needs of electricity",1
"19","consent_received.shelter_nfi.non_food_items_other","None",10
"20","consent_received.shelter_nfi.non_food_items_other","osod .filters",1
"21","consent_received.shelter_nfi.non_food_items_other","Refrigerate ",1
"22","consent_received.shelter_nfi.non_food_items_other","Rice coking ",1
"23","consent_received.shelter_nfi.non_food_items_other","Shelter item",2
"24","consent_received.shelter_nfi.non_food_items_other","Ten",1
"25","consent_received.shelter_nfi.non_food_items_other","They need computer and Almarhi .",1
"26","consent_received.shelter_nfi.non_food_items_other","TV",1
"27","consent_received.shelter_nfi.non_food_items_other","TV.refrigerator.water",1
"28","consent_received.shelter_nfi.non_food_items_other","Tv+refrigerator ",1
"29","consent_received.shelter_nfi.non_food_items_other","Water pamp,laptop",1
"30","consent_received.shelter_nfi.non_food_items_other","Water pump",1
"31","consent_received.food_security.spend_other","0",266
"32","consent_received.food_security.spend_other","1000",7
"33","consent_received.food_security.spend_other","10000",2
"34","consent_received.food_security.spend_other","1200",1
"35","consent_received.food_security.spend_other","1500",6
"36","consent_received.food_security.spend_other","200",3
"37","consent_received.food_security.spend_other","2000",9
"38","consent_received.food_security.spend_other","20000",1
"39","consent_received.food_security.spend_other","2500",3
"40","consent_received.food_security.spend_other","25000",1
"41","consent_received.food_security.spend_other","300",5
"42","consent_received.food_security.spend_other","3000",8
"43","consent_received.food_security.spend_other","30000",1
"44","consent_received.food_security.spend_other","3500",1
"45","consent_received.food_security.spend_other","4000",4
"46","consent_received.food_security.spend_other","4500",1
"47","consent_received.food_security.spend_other","500",9
"48","consent_received.food_security.spend_other","5000",4
"49","consent_received.food_security.spend_other","600",1
"50","consent_received.food_security.spend_other","6000",1
"51","consent_received.food_security.spend_other","800",2
"52","consent_received.food_security.spend_other","8000",1
"53","consent_received.food_security.spend_other","9000",1
"54","consent_received.education.edu_aid_kind_other","Money",3
"55","consent_received.child_protection.boy_risk_other","Drug addiction",5
"56","consent_received.child_protection.boy_risk_other","None",4
"57","consent_received.child_protection.boy_risk_other","Road accident ",4
"58","consent_received.child_protection.boy_risk_other","Smoking ",2
"59","consent_received.child_protection.girl_risk_other","Drug addiction",1
"60","consent_received.child_protection.girl_risk_other","None",3
"61","consent_received.child_protection.girl_risk_other","Road accident",1
"62","consent_received.child_protection.girl_risk_other","Smoking",1
"63","consent_received.child_protection.community_groups_other","Money, credit",5
"64","consent_received.gender_section.women_question_consent.menstrual_challenge_other","Far away",1
"65","consent_received.cwc.thing_to_know_other","Road probelm",1
"66","consent_received.cwc.thing_to_know_other","Sometimes elephant affected",1
"67","consent_received.cwc.thing_to_know_other","Tubewell..latrin",1
"68","consent_received.cwc.accurate_information_other","Live telecast see this occurs belief this",1
"69","consent_received.cwc.provide_feedback_other","police station",1
"70","consent_received.cwc.provide_feedback_other","Police station",1
"71","consent_received.cwc.provide_feedback_other","Police station ",1
